fecha,departamento,producto,id_producto,precio,unidad,cantidad
2025-05-10,Cochabamba,aceite de girasol,8,18.0,litro(s),900.0
2025-05-13,Cochabamba,aceite de girasol,8,19.33,litro(s),900.0
2025-05-15,Cochabamba,aceite de girasol,8,19.33,litro(s),900.0
2025-05-17,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-05-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-05-22,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-05-24,Cochabamba,aceite de girasol,8,21.33,litro(s),900.0
2025-05-27,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-05-29,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-05-31,Cochabamba,aceite de girasol,8,19.33,litro(s),900.0
2025-06-07,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-06-10,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-12,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-06-14,Cochabamba,aceite de girasol,8,21.5,litro(s),900.0
2025-06-16,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-06-17,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-18,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-19,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-20,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-06-21,Cochabamba,aceite de girasol,8,22.5,litro(s),900.0
2025-06-23,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-24,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-06-25,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-06-26,Cochabamba,aceite de girasol,8,21.5,litro(s),900.0
2025-06-27,Cochabamba,aceite de girasol,8,24.0,litro(s),900.0
2025-06-30,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-07-01,Cochabamba,aceite de girasol,8,23.33,litro(s),900.0
2025-07-02,Cochabamba,aceite de girasol,8,21.33,litro(s),900.0
2025-07-03,Cochabamba,aceite de girasol,8,23.0,litro(s),900.0
2025-07-04,Cochabamba,aceite de girasol,8,22.0,litro(s),900.0
2025-07-05,Cochabamba,aceite de girasol,8,18.67,litro(s),900.0
2025-07-07,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-08,Cochabamba,aceite de girasol,8,20.5,litro(s),900.0
2025-07-09,Cochabamba,aceite de girasol,8,21.33,litro(s),900.0
2025-07-10,Cochabamba,aceite de girasol,8,20.22,litro(s),900.0
2025-07-11,Cochabamba,aceite de girasol,8,21.33,litro(s),900.0
2025-07-12,Cochabamba,aceite de girasol,8,19.0,litro(s),900.0
2025-07-14,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-07-15,Cochabamba,aceite de girasol,8,18.83,litro(s),900.0
2025-07-16,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-17,Cochabamba,aceite de girasol,8,20.11,litro(s),900.0
2025-07-18,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-19,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-07-21,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-07-22,Cochabamba,aceite de girasol,8,20.17,litro(s),900.0
2025-07-23,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-07-24,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-07-25,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-26,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-28,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-29,Cochabamba,aceite de girasol,8,19.17,litro(s),900.0
2025-07-30,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-07-31,Cochabamba,aceite de girasol,8,19.89,litro(s),900.0
2025-08-01,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-08-02,Cochabamba,aceite de girasol,8,19.83,litro(s),900.0
2025-08-04,Cochabamba,aceite de girasol,8,19.33,litro(s),900.0
2025-08-05,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-06,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-07,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-09,Cochabamba,aceite de girasol,8,20.17,litro(s),900.0
2025-08-11,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-12,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-13,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-14,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-15,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-16,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-18,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-19,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-21,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-22,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-23,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-08-25,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-08-26,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-27,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-28,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-08-29,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-08-30,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-01,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-02,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-03,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-04,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-05,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-06,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-09,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-10,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-11,Cochabamba,aceite de girasol,8,20.22,litro(s),900.0
2025-09-12,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-13,Cochabamba,aceite de girasol,8,20.17,litro(s),900.0
2025-09-16,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-17,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-18,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-19,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-20,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-22,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-23,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-09-24,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-25,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-26,Cochabamba,aceite de girasol,8,21.67,litro(s),900.0
2025-09-27,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-29,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-09-30,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-01,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-10-02,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-10-03,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-10-04,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-10-06,Cochabamba,aceite de girasol,8,21.0,litro(s),900.0
2025-10-07,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-09,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-10,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-10-11,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-13,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-14,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-15,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-16,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-10-17,Cochabamba,aceite de girasol,8,21.33,litro(s),900.0
2025-10-18,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-21,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-22,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-23,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-24,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-10-25,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-27,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-28,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-29,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-10-30,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-10-31,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-04,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-11-05,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-06,Cochabamba,aceite de girasol,8,20.67,litro(s),900.0
2025-11-07,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-11-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-10,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-11-11,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-12,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-13,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-15,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-17,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-18,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-19,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-11-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-21,Cochabamba,aceite de girasol,8,20.33,litro(s),900.0
2025-11-22,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-11-24,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-25,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-26,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-27,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-11-28,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
